step,t_0.050,t_0.097,t_0.145,t_0.192,t_0.239,t_0.287,t_0.334,t_0.382,t_0.429,t_0.476,t_0.524,t_0.571,t_0.618,t_0.666,t_0.713,t_0.761,t_0.808,t_0.855,t_0.903,t_0.950
5000,156169.937500,138462.718750,123274.093750,110472.226562,99815.242188,91030.796875,83875.078125,78169.078125,73795.585938,70694.484375,68868.632812,68398.046875,69458.171875,72347.007812,77560.523438,85932.187500,98731.039062,117109.234375,137707.921875,133757.750000
10000,144609.468750,118601.625000,99069.992188,84322.476562,73178.671875,64640.816406,57941.996094,52555.203125,48162.566406,44719.792969,42349.066406,41032.773438,40701.238281,41255.386719,42521.050781,44447.152344,47678.789062,54148.437500,66679.476562,81299.101562
15000,132867.781250,99656.289062,77639.726562,63071.886719,53116.660156,45993.218750,40493.289062,35893.105469,32131.031250,29281.607422,27600.363281,26646.232422,26014.802734,25723.892578,25942.906250,27905.500000,32371.314453,40224.832031,52334.179688,66613.421875
20000,121990.539062,85159.789062,64705.328125,52539.597656,44156.734375,37639.480469,32326.253906,28506.984375,25944.656250,24409.771484,23026.478516,21634.935547,20789.394531,20612.652344,21496.039062,24090.552734,28451.732422,35259.882812,46984.242188,67794.351562
25000,113939.171875,76012.789062,57003.000000,46159.402344,38923.421875,32694.888672,28069.589844,25334.773438,23585.291016,22133.005859,20728.722656,19633.953125,19099.125000,19242.832031,20317.064453,22381.210938,26105.919922,32715.285156,45404.292969,71932.476562
30000,107091.523438,67973.117188,50765.511719,41438.300781,34837.808594,29004.972656,25470.380859,23227.669922,21738.648438,20618.058594,19349.273438,18538.765625,18143.673828,18526.472656,19704.935547,21763.626953,25225.851562,31494.427734,44758.679688,75187.320312
35000,100880.140625,61490.460938,45939.371094,37766.390625,31810.445312,26923.105469,24052.019531,22127.220703,20905.830078,19734.230469,18711.468750,17951.298828,17776.468750,18302.146484,19333.832031,21266.539062,24570.308594,30704.599609,43984.707031,76903.054688
40000,97700.921875,57740.800781,43136.886719,35761.652344,30094.197266,25747.429688,23324.085938,21676.902344,20534.960938,19367.603516,18382.787109,17717.349609,17569.316406,18050.689453,19084.974609,20940.892578,24205.179688,30245.960938,43512.179688,76633.203125
45000,94859.265625,54704.710938,41155.085938,34393.734375,28919.470703,24962.462891,22841.611328,21374.451172,20273.335938,19092.291016,18126.349609,17550.332031,17464.476562,17885.888672,18917.730469,20736.068359,23948.988281,29937.638672,43114.894531,76191.679688
50000,93694.492188,53239.527344,39985.503906,33463.253906,28141.666016,24529.253906,22616.472656,21325.595703,20326.623047,19086.769531,18094.685547,17463.183594,17411.130859,17819.052734,18818.714844,20629.632812,23821.714844,29751.947266,42876.906250,75718.875000
55000,92708.195312,52118.710938,39229.042969,32991.230469,27772.589844,24254.613281,22559.412109,21318.718750,20302.714844,19042.632812,17997.804688,17322.703125,17298.494141,17753.556641,18787.144531,20540.767578,23745.226562,29710.566406,42732.937500,74984.234375
60000,92077.500000,51235.335938,38708.542969,32526.714844,27447.410156,24105.207031,22484.480469,21348.449219,20244.490234,18934.259766,17877.816406,17214.947266,17194.996094,17675.115234,18741.960938,20476.197266,23728.150391,29667.810547,42586.703125,74443.554688
65000,91371.953125,50779.328125,38535.898438,32400.869141,27314.109375,24063.027344,22528.636719,21376.101562,20155.923828,18837.246094,17761.585938,17108.117188,17077.250000,17617.306641,18645.406250,20483.152344,23691.861328,29644.914062,42517.722656,74133.890625
70000,91102.671875,50388.472656,38217.734375,32179.935547,27186.378906,23996.210938,22469.048828,21307.037109,20025.125000,18739.314453,17669.425781,17029.205078,16979.273438,17495.134766,18609.958984,20476.949219,23720.572266,29581.830078,42421.257812,73852.148438
75000,91061.515625,50038.007812,38104.703125,32120.113281,27114.621094,23849.878906,22338.068359,21097.564453,19847.164062,18543.589844,17582.853516,17013.654297,16986.486328,17535.935547,18580.560547,20455.664062,23715.853516,29582.419922,42307.433594,73730.492188
80000,91048.781250,50062.769531,38067.656250,31932.757812,27024.894531,23795.197266,22339.292969,21011.462891,19717.498047,18424.796875,17560.208984,17000.056641,16981.064453,17548.865234,18612.824219,20411.654297,23701.072266,29547.738281,42276.292969,73508.031250
